name,country,date,review_score,review_header,review_body
NE,DE,"Aug 1, 2025",1,"Five Years and $2,000/Month Wasted: Vultr's GPU Service is a Nightmare","As a Vultr customer for five years, during which I've spent approximately $1,500 USD to $2,000 USD every single month on their services, my experience has devolved into utter disappointment and frustration. What began as a promising partnership has become a persistent nightmare, forcing me to now actively plan the migration of all my critical services. The core of my dissatisfaction lies with critical, recurring infrastructure failures, specifically impacting their GPU instances. My GPU server frequently becomes ""Unlicensed,"" rendering it completely useless for extended periods. This isn't an isolated incident; it's a fundamental, persistent flaw within their system that they seem incapable of resolving. Despite their ""fixes,"" the problem always returns. My own investigations consistently point to a deep-seated misconfiguration on Vultr's end, not an issue with my setup. Compounding this technical incompetence is an abysmal support experience. Despite the significant amount of money I invest monthly, I'm consistently met with unhelpful, repetitive responses, a clear lack of understanding of the problem's gravity and persistence, and a general indifference to my critical downtime. I've been repeatedly assured these issues wouldn't reoccur, only to have the exact same problem resurface, proving their assurances are worthless. The real-world impact has been devastating. I recently endured over 22 hours of downtime for one incident, for which I received a meager $50 USD in compensation – a pittance compared to my monthly spend and operational losses. Worse, the server broke down again the very next day with the identical issue, and it has now been down for two full days. This level of unreliability, combined with their inability to provide a permanent solution, is simply unacceptable for a service at this price point. For anyone considering Vultr, especially for mission-critical services or GPU instances, consider this a grave warning. Their infrastructure has severe, recurring flaws, and their support team is ill-equipped to handle serious problems. After five years, my only regret is not leaving sooner. Save yourself the headache and significant financial losses."
Nico,DE,"Updated Aug 1, 2025",1,"Five Years In, and Deeply Regretting Vultr","After five years as a Vultr customer, spending around $2,000 monthly, I'm genuinely shocked and deeply disappointed by the recurring issues and the abysmal support I've received. What started as a promising service has devolved into a constant headache, and I'm now actively looking to migrate my services elsewhere. The core of my frustration lies with a persistent and critical GPU licensing issue on my GPU server. This isn't a one-off glitch; it has happened multiple times, causing significant and unacceptable downtime. Each time, my GPU becomes ""Unlicensed,"" rendering my server useless. The ""fix"" from Vultr has consistently been to tell me to manually recreate the nvidia-gridd.service file, which inexplicably vanishes. I've done this repeatedly. Yet, even when the service file is present, the daemon starts, attempts to acquire a license from nvidialic.vultrlabs.com, and then immediately dies. My own troubleshooting, which frankly, Vultr support should be doing, has revealed the root cause is on their end. My server can connect to their licensing server on port 443, but their server is rejecting the request with a ""400 Bad Request"" error, stating ""The plain HTTP request was sent to HTTPS port."" This is a fundamental misconfiguration on Vultr's side, not mine. Despite spending a substantial amount of money monthly, the support experience has been nothing short of infuriating. I'm met with repetitive requests for logs I've already provided, a clear lack of understanding of the problem's persistence, and a general impression that they're more annoyed by my tickets than concerned about resolving a critical, recurring issue. I was even told this wouldn't happen again, yet here we are. This latest incident has cost me 14 hours of critical downtime, and Vultr's inability to provide a permanent solution or even a competent diagnosis is unacceptable. For anyone considering Vultr, especially for GPU instances, be warned: their infrastructure has fundamental flaws, and their support will leave you high and dry. I regret my five-year commitment. Edit: I got compsensated for $150 USD for the downtime of 22 hours. Edit 2: It's the next day, and the GPU is unlicensed again. Same issues. Support was not helpful at all. I feel like they have no understanding about the hardware they are selling."
Sean McHugh,US,"Jul 28, 2025",1,Their Kubernetes platform is effectively unusable.,"They limit the number of nodes you can create/destroy in your kubernetes cluster. It makes it impossible to build anything. They will arbitrarily limit you to creating 5 nodes a day. Like, you know, what an autoscaler does. They don't make it clear how to lift these restrictions, why they were put in place, or how they even make sense since you have to pay to create the instances so there should be no problem in any case. I deeply regret building with Vultr."
Claudio Pires,BR,"Jul 17, 2025",1,Vultr lost my site,"Vultr lost my site, and support can't recover it. Their HD is inoperable and for some reason they can't fix the problem, making my lost years of work and my ways of living, NEVER ever work with such bad company"
Maniac,SG,"Jul 11, 2025",1,Indian/Pakistani owned company,"Hi. Trust me, this is a US-based company, but it seems to be run by people from India or Pakistan, as they always comply with frivolous lawsuits from companies in those countries that stir up trouble. The Vultr Support Team either passes the buck or fails to resolve issues, showing poor management. The server rental prices are exorbitant, the performance is slow, and errors are frequent. They even caused issues on my server without any prior notice. This is a service you should never try, even if it’s free. Thanks."
One Dog,VN,"Jul 3, 2025",1,One of the worst support in the world,"One of the worst support in the world. I had serious problems with the server, but they responded like an autopilot and refused any help they could do. Only the payment was very regular, every 2 days they sent me a bill. As if they were afraid I would run away. I don't understand vultr, although the server quality was not bad at first, my experience with the support was terrible. I finally had to stop, after 3 months of use. Bad."
Phan Trọng Giáp,VN,"Jul 1, 2025",1,One of the worst services I have ever…,"One of the worst services I have ever used. Support is extremely bad. Using the server once it is stable is fine, but every time there is something that needs support from this side, there is almost no significant support & the response is super slow."
sam falke,PW,"Jul 1, 2025",1,Terrible service and Access Privacy…,"Terrible service and unreasonable verification process. They ask to provide: ID; photo of yourself, while holding ID, image of the credit card used (both side), reason of using their platform. When I explain that I intend to use for personal and family private needs, they asked to provide: “ the personal and family-related activities in which you will be engaging on our platform. Please also provide the names of softwares and/or applications that you will be running, and any websites associated with your activities.” Is it legal at all? Or they violate USA laws? I think so."
egyszar ubsr,HU,"Jun 26, 2025",1,"Promotional Credit Revoked Without Warning, Unexpected Charges IncurredI created an account with a $300 trial…","I created an account with a $300 trial and started running a VPS. Meanwhile, they secretly removed my credits, claiming: “Our systems routinely check for account AUP/TOS violations and have flagged your account. Accounts violating our TOS/AUP are not eligible for promotional credits. Please review our AUP at .../legal/use-policy.” They charged around $50 to my bank account without any prior notice (this happened before I submitted a support ticket). It’s also worth noting that there was no indication whatsoever that they would removed the credits. Be careful with them this kind of shady behavior is unacceptable."
X- DARK,TN,"Jun 25, 2025",1,"Hello Vultr Support,","Hello Vultr Support, I was shocked to see my $300 promotional credit removed from my account without any clear reason. My account is completely new, I have not performed any activity, and I have not used any part of the credit. Therefore, I kindly request a clear explanation of what exactly triggered the AUP/TOS violation. I assure you I have not violated any policy, and I respectfully request either a full restoration of the credit or specific details and evidence of any issue. Thank you for your understanding. Bilal Ben Bouyazgar"
admin adasoft,TH,"Jun 24, 2025",1,To be honest,"To be honest, Vultr has very bad after-sales service. They don't respond to tickets, which caused me to have customer problems. I think digital ocean is better."
Nakhonsoft,TH,"Jun 24, 2025",1,Very poor support and slow.,
Parham Heydari,DE,"Jun 21, 2025",1,No refund for unused credit,"They ask you to charge first, then after a day they banned my account and they not even refund. they asked me 4 different proofs from me, which I even don't have some of them. I want to ask you a question, if KYC is such a matter for you why didn't you ask when you were charging me? Never saw something like this. good that I only lost 10 euros and not more."
Ali Ahmed Brohi,PK,"Jun 20, 2025",1,Billing is extremely confusing,Billing is extremely confusing. I used it once or twice and month and I was billed $100.
Eric,US,"Jun 17, 2025",5,I've used Vultr for a couple of years…,"I've used Vultr for a couple of years to spin up LAMP stack web environments and gaming servers. I can go from ""buying a domain"" on namecheap or godaddy to ""up in running"" with SSH access, https enabled, apache driven website in a matter of 5-10 minutes. With barebones web servers starting at $2.50 a month it all just feels super easy and unbeatable. I've had no issue destroying servers / dropping services / etc. Honestly, I was surprised to see their Trustpilot rating wasn't super high. I've never had to contact customer service, maybe that's the difference. But for me with basic web-dev and game server needs, their tools, interfaces, pricing, and physical server locations just plain work."
Magnus,SE,"Jun 13, 2025",1,Denied SMTP Request (No Reason),"I applied to get my SMTP block removed, but this support agent Ruby.J denied it without any valid reason, and quoted policy that didnt apply to this content at all, I followed the Anti spam policy, to the teeth, Even have it in my own companies TOS, but yet, Nah, denied, why? I still confused on that part."
Mohamed Zyad El-Ghannam,EG,"Jun 4, 2025",1,WORST EVER DONT USE,"WORST EVER DONT USE First of all, they limited my server (although I paid for the resources), then they said that somebody hacked it and they stopped the server suddenly. After that they decided to just terminate my account saying ""the hack was from my side"" Like I would hack my own server that I use as a dialer for a call center operations. What a joke"
Krzysztof G,PL,"May 22, 2025",1,Account suspended & accused of fraud,"We are a company, we've registered for vultr as It was suggested by one of my fellow employees. Suddenly, our account got suspended ""Additional verification needed"", they demanded a few documents, which in our case was not only illegal to do to a company-grade account, but also time consuming & costly. Definitely not worth for first cloud service integration. We've been immediately accused of fraud which is unacceptable and terrible experience. Preferably avoid this cloud service for your company as they clearly do not support the consumer (or b2b) and look for alternatives."
Vladimir Startsev,RU,"May 21, 2025",1,Terrible service and unreasonable…,"Terrible service and unreasonable verification process. They ask to provide: ID; photo of yourself, while holding ID, image of the credit card used (both side), reason of using their platform. When I explain that I intend to use for personal and family private needs, they asked to provide: “ the personal and family-related activities in which you will be engaging on our platform. Please also provide the names of softwares and/or applications that you will be running, and any websites associated with your activities.” Is it legal at all? Or they violate USA laws? I think so."
Adriano de Franca,ZA,"May 20, 2025",1,Deducting money 2months after account closure request.,"I made a formal request to cancel all services and close my account. They did not do this. They also left services running and two months later they still deducting from my account. I don't care what they have to say about it, they should not have taking any future monies from me from that date onwards. I have closed the account myself from their console. Hopefully this is the last I'll ever have to see their misspelled name. Don't even bother replying to this Vultr. I don't care enough about you to respond to you're thieving excuses, apologies, or blame that you're going to write."
Roman Mobile,CH,"May 17, 2025",2,Been with them for 10 years,"Been with them for 10 years, paying a few hundred dollars every month. Today they decided to give me 12 hour window to react to a false copyright claim, threaten to suspend my server. Glad I woke up early to even catch the window and now nobody on their side is responding for over an hour, while the unrealistic time window runs out ... For the last 2 years there have been constant problems with high loads from my neighbours, they always tell me it's ""fixed"" now until in a few weeks it happens again."
Per-Arne D. Kristiansen,NO,"May 12, 2025",5,One of the best in the business of…,"One of the best in the business of VPNS, thanks to em I made many cool servers :), enjoy this service very much!"
Cory,AU,"Apr 30, 2025",5,I use this service daily,"I use this service daily, i use it for a bunch of different services globally. No provider is without it's glitches, thats not important, whats important is how they deal with it and I have found Vultrs service to be A+"
Alexei Danilchik,BY,"Apr 28, 2025",5,"DigitalOcean side view, same thing cheaper","I don’t know why there are such bad reviews. So far, I don’t have much experience with this company, but I can’t say anything negative. The prices are quite competitive, the range of services is complete, everything is clear and straightforward. If you dive into the technical details, everything seems very well thought out."
Kimmy,SG,"Apr 22, 2025",1,They always threaten me that they will…,"They always threaten me that they will suspend/terminate my account, I can't understand why they keep saying they will threaten like that, Vultr service is extremely bad, extremely disrespectful to customers"
Dharmendra Asimi,IN,"Apr 2, 2025",1,Unfair practices of collecting GST for Indians,"They have been charging me 18% GST since 2 yrs, however, they have not paid taxes to the Indian Government. When I asked them to send the tax invoices, they ignored me, when i asked for the refund of the taxes collected, they refused to refund. They have collected more than $200 in taxes yet not paid a single dollar to Indian Government."
Steven Shan,ID,"Apr 1, 2025",1,Scamming,"Scamming, they remove credit before its expired and charge you the full amount of the service you use from that credit"
John,SG,"Apr 1, 2025",1,THESE IDIOTS STOPPED SENDING MY LOGIN…,"THESE IDIOTS STOPPED SENDING MY LOGIN CODES, NOW I CAN'T LOGING TO MY OWN ACCOUNT!! IT IS PAID ACCOUNT AND I HAVE MORE THAN 100USD DEPOSIT. SO THESE IDIOTS BASICALLY HAVE STOLLEN MY MONEY!! SCAMMERS!!!"
exerinity,AU,"Mar 28, 2025",1,Don't use Vultr,"Vultr is a huge gamble. The servers are somewhat fast, but they're really not. The staff are utterly unhelpful, you can ask a simple question and they will spew out a long irrelevant reply, almost as if its an AI just signing human names. I simply asked for a concise yes/no for a very basic question, and they proceed to list this huge list of irrelevant resources and guides. The deploy page is such a labyrinth, making it much more complicated than it has to be. They will charge you more than you used and rip you off. While it may be good for power efficient things, at that point, just host it yourself. Everything is portrayed to be extremely professional, but it's really not."
Robert Mullins,ES,"Mar 26, 2025",1,Be aware there service is poor and…,Be aware there service is poor and support do not reply to messages. I have used there service for many years but lately they blocked my account with no reason reported. I have sent about 10 emails with no reply. They also keep attempting to charge me for a service they are not supplying. My advice would keep well away from vultr.com
Jvalin,AG,"Mar 21, 2025",1,No Support at all and servers keeps crashing,"Support sucks, they just want to wash their hands by not helping with anything. The servers arent reliable and all the time crashing only especially the plesk version"
Fadi H,AU,"Mar 18, 2025",1,i started using Vultr a year ago and…,i started using Vultr a year ago and everything was going fine. it seems they have enabled 2factor on our account and when i tried to login i wasn’t able to due to the 2factor code. tried raising a support ticket and it’s been nearly 24 hours we are locked out and still no response. there is no phone number to request urgent support so now our production issue is impacting customers and we have no way to access our servers to manage from the portal. be careful with a very slow responding support system and no phone number to contact you can be left helpless as a business.
Pierce Henry,SG,"Mar 17, 2025",1,Vultr is a scam,"Vultr is a scam, please don’t subscribe or send money to get acccess to services they block. I needed to use GPU and they ask sending money first then ask for identity proof, keep adding more requests one after another without unblocking the GPU access or even DNS access. Totally unprofessional."
Thomas,CA,"Mar 11, 2025",1,Absolute Scam,"Absolute Scam, Stay Away, Save your time and Money!! I had an absolutely terrible experience with Vultr, and I strongly advise everyone to stay away from this scam company. Their customer service is non-existent, and their platform is misleading. They promise services, but once you add your credit card, they charge you without providing any actual instance or service. In my case, they charged me $68 without reason, and after contacting my bank, it was proven to be financial fraud. Despite repeated attempts to reach out to their support team, I received no response or resolution. I wasted hours trying to get my money back, but their team either ignored my complaints or gave generic, unhelpful responses. It’s clear that Vultr is running a shady operation with unfair billing practices. They take your money without delivering the promised service and leave you stranded. I wouldn’t trust them with any personal or financial information. If you’re considering Vultr, please think twice—there are far more reliable and trustworthy alternatives out there. Save yourself the frustration and avoid this fraudulent company at all costs!"
韩家涛,SG,"Feb 25, 2025",1,It turns out that the server manufacturer can shut down my server at will?,"I run a legitimate fire safety equipment manufacturing business and used Vultr’s $28.80/month plan for a simple corporate website. In mid-January, I received a CPU rate-limit warning, despite minimal usage. Support demanded excessive documentation, then abruptly shut down my server and account. They later asked for “violating” data—impossible since my account was closed. The shutdown timeline changed from 48 to 24 hours, and refunds were only granted under strict conditions. Unreliable service, zero transparency—avoid Vultr."
Michael Y.,US,"Feb 19, 2025",1,Terrible terrible customer service,
Lukas,DK,"Feb 9, 2025",1,They do not support email hosting,
Mario Yanoky,NL,"Feb 7, 2025",1,bully scammish company,I opened my account (i didnt read the terms and condition fully i'll admit) apparently there is a limit on how much you can spend i didnt know that and i deposited 1300 usd with crypto with the idea of starting my side business (i am administrator for small companies) than all hell broke lose they didnt allow me to increase the limit of how many servers i can rent and when i asked for refund guess what? no refunds on crypto so they blocked me on both sides now i am stuck with 1300 credit with 50usd max spending per month which means i am forced to be with them for 3 years!! this is bullish behavior dont trust them they are a scam.
Ioannis Tsiokos,GR,"Feb 6, 2025",1,Scammers. Avoid,"Me: Hi, we signed up, made a deposit, but cannot deploy GH200 Vultr: You have to make a $50 deposit Me: Just made it Vultr: You can access 1/10 and 1/20 instances now. Me: But I said we need access to GH200 Vultr: Nope"
Nomi,US,"Feb 5, 2025",1,They limit wireguard traffic without…,They limit wireguard traffic without telling you. Very scammy!
MrD,GB,"Jan 22, 2025",1,A very odd company,"A very odd company. Signed up, loaded up funds and went to deploy. What I got was an interrogation. Cancelled Account and went elsewhere."
Patrik,US,"Jan 22, 2025",1,SCAM COMPANY!!!,"Scam company, their customer has been sending me daily phishing attacks from their server. Their abuse team acknowledged it was coming from their server but stated due to the amount of servers they have they are unable to find the source. Now I am having to sue them in court to get them to take action. Don’t trust these clowns with your business they support, facilitate and protect scammers. This is from my personal experience with them. Hopefully law enforcement fines them the maximum allowed by law for this as well."
Destiny,SE,"Jan 17, 2025",2,No reliable as claimed,
Nicos Karalis,ES,"Jan 9, 2025",1,Terrible Service and Zero Accountability,"After paying, setting up my account, and spinning up a couple of servers, this hosting company locked my account without any warning. To make matters worse, they waited until after locking the account to send an email, which means they continued charging me for the machines and services they had ""reserved"" but made inaccessible. They demanded information I simply don’t have. I explained this multiple times, in multiple ways, through support tickets, yet they kept asking for the same thing like they weren’t even reading my responses. It’s like talking to a brick wall. Their refusal to unlock my account unless I complied with their arbitrary demands—demands I repeatedly explained I can’t fulfill because I don’t have the requested information—makes it clear they have no interest in actually providing the service they advertise. This isn’t about bureaucracy; it’s pure laziness. They’ve entered a market they don’t feel comfortable working with and will do anything to slow customers down rather than adapt to the needs of their clients. If you’re considering this company for hosting, don’t. There are far better options out there that won’t waste your time or money like this one does."
Alberto Lopez,US,"Jan 2, 2025",1,VULTR exceed my worst expectations! A true nightmare,"They have no customer service—no live chat or any type of chat, only a ticket-based process. Their new beta website is riddled with bugs. The infamous, outdated, and stress-inducing Captcha greets you, often leading to endless failed login attempts, pushing you further into a frustrating purgatory. The payment process is equally awful and cumbersome. With $3.5 billion in new financing, you’d think this wouldn’t be the case. Bigger is rarely better."
Isaac R,US,"Dec 16, 2024",5,"8 Years, Fast, No Issues","We've been using Vultr for 8 years with almost zero downtime or issues. Dallas, Atlanta, and NYC Ubuntu VPS. Seems like most of the bad reviews here are people attempting to use Vultr servers for nefarious purposes, or people who don't know their way around a command line. Servers are faster than the Word of God and easy to spin up."
Jose Fabio,MX,"Dec 11, 2024",1,Reputation to get access to better servers,"First you publicize your amazing products. When I want to create an instance, I had to deposit money. After that, I'm told that I need to increase the limit that I can spend on an instance, and finally you tell me I need ""reputation"" on your platform, which can only mean ""get whatever server we allow you to instance, pay for it 30 days, even if you are not going to use it, and after that we MAY allow you to get what you want"". Do you get why this is ridiculous?"
Tony wateround,CA,"Nov 21, 2024",1,VPS are overpriced,VPS are way to overpriced
MD Saiful Islam,GB,"Nov 18, 2024",1,A Legit Scammer,They have lots of system bugs. I credited an account with money and they flagged my account without letting me know and took that money and didnt refund that. dont put your credit card information on their website.
Dmitriy Fedorenko,AE,"Nov 17, 2024",5,Good price,Good price. Many locations.
Crann,IE,"Nov 16, 2024",5,Reliable hosting and support,"I've always had a positive experience with Vultr, their support generally responds within an hour and they have really competitive pricing. So far I've had close to 100% uptime on my servers and I've been using them for just over 2 years now."
oelwfs,US,"Updated Nov 28, 2024",2,They Don't Care,"They blamed me for something I didn't do, and is actually a software issue/bug. I created a Wordpress on OpenLiteSpeed VPS, but did not complete the initial configuration for several days. Despite that, they limited all my VPS' vCPUs to 25%. accused me of violating their Acceptable Use Policy even though I had not yet configured the VPS, and then threatened to suspend my account if I don't respond within 48 hours. I responded stating the above, and the replied that I needed to answer their questions. Never mind that I had not even configured the VPS yet. I've been a loyal customer of their's for about 5 years now, so believe me when I say ""go with another provider"". I will be transferring my 5-year virtual servers to another provider today. Vultr: ""Based on monitoring results and subsequent analysis, we have determined your CPU resource utilization profile is excessive and causing performance issues which may unfairly affect the population of Vultr subscribers as a whole. Accordingly, we have limited the maximum CPU resources your instances can consume (an account-wide setting). If you are able to reduce the performance impact we have observed, we may be able to adjust the limit or remove it altogether."" Vultr: ""Based on monitoring results and subsequent analysis, we have determined your CPU resource utilization profile is excessive and causing performance issues which may unfairly affect the population of Vultr subscribers as a whole. Accordingly, we have limited the maximum CPU resources your instances can consume (an account-wide setting). If you are able to reduce the performance impact we have observed, we may be able to adjust the limit or remove it altogether."" Me: ""Why is my account CPU limited. I created the VPS and havent even configured it yet. Please advise."" Vultr: ""We have set resource limits on your account due to high resource utilization that was impacting the performance for other customers on the same host node."" Me: ""Let me see if I got this correct, you (Vultr) are blaming and punishing me for something I didn't do, and is probably a software issue/bug. I created a ""Wordpress on OpenLiteSpeed"" VPS, but they did not complete the Wordpress software configuration for several days. Despite that, you limit my account, accuse me of violating your Acceptable Use Policy even though I had not yet configured the VPS, and threatened to suspend my account if I don't respond within 48 hours? Very poor customer service. I have been a loyal customer of yours for approximately 5 years now, but if this is what your customer service is like, I will take my business and money to another provider."" Vultr: ""You will need to provide detailed responses to all of our previously asked questions."" Me: ""The level of imcompetence or complete and utter disregard for your customers is astonishing. No one at Vultr is even bothering to read my responses. It is fine.... it is clear I will be better off re-creating my VPSs with another provider."" Vultr: ""We are providing notice of our intent to discontinue service to this account effective 48 hours from now, due to violations of our Terms of Service/Acceptable Use Policies..."" Me: ""Close my account permanently. Good riddance."" Vultr: ""We are providing notice of our intent to discontinue service to this account effective immediately for violation of our Terms of Service/Acceptable Use Policies."""
Thang Tran,VN,"Nov 13, 2024",1,Vultr support team attitude and delay is terrible,"I am a long-time customer of Vultr. The longest VPS registered continuously is 7 years. I am currently having problems with my account, and my Tikets support has been suspended since last weekend (maybe because this is a holiday and weekend) so it took me 4 days to receive a response, I was asked to wait, and wait for my turn to be supported. You said 99.95% Uptime, that is a joke I am extremely disappointed with the way the Vultr support team works. Not only is the response process from your side slow, but the support attitude is also unenthusiastic, the answers are so short that they are abrupt, not showing the professionalism and dedication that customers expect. I hope Vultr seriously reviews and improves its customer support methods, improves the quality of service and the attitude of the support staff. This is the least a loyal customer can expect."
Carlos,US,"Nov 11, 2024",1,Horrible support,"I had a pretty frustrating experience with Vultr trying to get the SMTP port unblocked so I could send emails from my website. After opening a support ticket, it took hours to even get a response. When they finally replied, they asked for a bunch of info—most of which I’d already included in the ticket! Then, they kept piling on more questions, making the whole thing way harder than it needed to be. I gave them everything they asked for and then waited almost a full day, just to be told they wouldn’t unblock it. This whole process felt like a huge hassle and really affected my site. I hope Vultr rethinks how they handle these requests to make it easier for people who actually need the support. For me that's all with them I've moved everything to another company and will never do business with them again."
Primasoft,EG,"Nov 9, 2024",5,They are consistent and improving,They are consistent and improving I am using their services for 3 years now
Ralph,AU,"Nov 8, 2024",5,Again the scheduled network service…,"Again the scheduled network service happened without me noticing ... having had a couple of small cloud VPS with Vultr for several years, I cannot but praise the experience. Almost 100% uptime and no fuss; highly competent technical support."
Own Your Own LLC,US,"Nov 7, 2024",5,Love it,"Love it! Using for 3 years. Like anything, you have to know what you are doing to use it."
Regis Kensy,BR,"Nov 7, 2024",5,Great services,"If you want to use services that work, a user-friendly and hassle-free platform, with servers spread across different regions of the globe, then hire Vultr."
Muhammad Shafiqur Rahman,BD,"Nov 7, 2024",5,Good uptime and good customer support,Good uptime and good customer support. Using for last 3 years and didn't get amy downtime.
Supported Systems,US,"Nov 7, 2024",5,Great service,"Great service, responsive and their services are reliable."
Angelo,CA,"Nov 7, 2024",1,Vultr support is horrible and rude,"I rented a server from Vultr and discovered it was on a company's black list. I wrote to them and they said they needed the request from someone at Vultr to remove it from their list. So I submitted a ticket to Vultr asking them to simply request the removal -- I told them the web site address and e-mail address to write to. They said, ""Upon review, fulfilling an unblock request for MIPSpace will not be possible; we are unable to assist you with this matter."" Unable? So they cannot send e-mail nor access any web sites? I find that hard to believe. They went on to say, ""As email reputation is nearly impossible to maintain on cloud instances, we advise that you use SendGrid or other third-party mailing tools, rather than the cloud instance itself, to circumvent this issue. We are closing this ticket."" Seems like they just told me to get lost, they don't want my business. So that's what I'm doing, and I recommend the same to anyone reading this."
Paul Williamson,AU,"Nov 7, 2024",5,Exceeds expectations,"I have been a Vultr customer in Australia for over 8 years and they have continued to deliver above expectations at a very reasonable price. Their proactive communication when there are very occasional issues is perfect, and it has also been great to see them continue to develop and expand their product offering and features. I worked in the hosting space for over 10 years and have an appreciation for what they are doing and particularly at this price point - delivering great value. I have only had 6 support tickets over 8 years, all of them simply minor things."
Bin Bash,AU,"Nov 6, 2024",4,Been with Vultr for 7 years and never…,"Been with Vultr for 7 years and never had any issues, price is good value for money."
Edmundo Ayala,US,"Nov 6, 2024",5,I've been a VULTR customer for 5+…,"I've been a VULTR customer for 5+ years. Having ample with experience with a number of cloud providers, I can say that VULTR delivers great value. Having said that, I understand their service is oriented to tech savvy customers. If you know your way around managing cloud services on your own then VULTR is definitely for you."
Pete,NZ,"Nov 6, 2024",5,I have been using Vultr for over ten years,"I have been using Vultr for over ten years, and have had no problems with them at all. The services I use are stable and reliable. I am notified of any outages well in advance and only had 1 instance of downtime, which was resolved quickly by support."
DoctorLouie,US,"Nov 6, 2024",5,"Perfect! Thank you, Vultr!","Perfect in so many ways, this from a long-term enterprise server administrator. Sure, sometimes 2FA is a pain, but better to be super secure than the latter. Overall, a great company and platform. Guess after 25 years working with web technology, you either know how to work with it effectively or you don’t. Hence, all the bad reviews."
